Monit_MAP_CODE1,Year,pct_garage_yes,homestead_y_count,homestead_n_count,GREEN_ACRE_y_count,GREEN_ACRE_n_count
10005200-01,2012,59.33273219116321,601,474,54,1055
82005400-01,2012,100.0,312,108,54,366
10009500-01,2012,55.537459283387626,364,250,43,571
19003100-01,2012,NaN,1897,719,34,2582
82015300-01,2012,100.0,628,90,32,686
82033400-01,2012,100.0,152,22,26,148
10012100-01,2012,52.19399538106235,368,65,25,408
10001900-01,2012,73.28202308960967,2313,1177,25,3609
82007700-01,2012,100.0,184,18,24,178
19034800-01,2012,NaN,6386,1132,23,7495
82009400-01,2012,100.0,10444,2029,22,12451
82036800-01,2012,100.0,442,134,22,554
82012200-01,2012,100.0,528,164,20,672
82013700-01,2012,99.3517017828201,1184,235,18,1405
82012300-01,2012,100.0,290,42,14,318
82010400-01,2012,100.0,594,88,14,668
10000200-01,2012,94.18604651162791,2369,964,8,3325
82010100-01,2012,100.0,200,78,8,270
70002600-01,2012,NaN,1829,342,6,2165
82015900-01,2012,100.0,2540,1674,4,4210
19044600-01,2012,NaN,4691,482,2,5171
82002000-01,2012,100.0,3984,1690,2,5672
82008900-01,2012,100.0,2370,752,2,3120
82003400-01,2012,100.0,12,14,2,24
27071100-01,2012,100.0,6213,1718,0,7931
27003501-01,2012,100.0,4255,875,0,5130
82010300-01,2012,100.0,1626,194,0,1820
27062700-01,2012,100.0,11399,1779,0,13178
19002700-01,2012,NaN,1594,263,0,1857
82009002-01,2012,100.0,5994,1400,0,7394
27007000-01,2012,100.0,3862,567,0,4429
02000500-01,2012,69.87610619469027,1946,879,0,0
19002900-01,2012,NaN,921,347,0,1268
19002100-01,2012,NaN,4718,731,0,5449
27004201-01,2012,100.0,7619,1871,0,9490
19002500-01,2012,NaN,2151,227,0,2378
19002300-01,2012,NaN,6039,773,0,6812
19002400-01,2012,NaN,2081,545,0,2626
19002200-01,2012,NaN,7064,604,0,7668
82009200-01,2012,100.0,936,310,0,1246
19003300-01,2012,NaN,3662,835,0,4497
82011602-01,2012,100.0,5116,1474,0,6590
10001100-01,2012,89.88015978695073,655,96,0,751
27005300-01,2012,100.0,8536,1877,0,10413
19002601-01,2013,NaN,9510,3349,301,12558
82008700-01,2013,100.0,10191,2683,187,12687
10005200-01,2013,60.016025641025635,748,500,59,1189
82009700-01,2013,100.0,8765,2800,56,11509
82005400-01,2013,100.0,314,104,52,366
10009500-01,2013,56.085526315789465,381,227,42,566
82015300-01,2013,100.0,612,96,34,674
19003100-01,2013,NaN,1900,715,32,2583
82033400-01,2013,100.0,148,22,26,144
10001900-01,2013,73.13243859204862,2511,1438,25,3924
